Unnamed: 0,resolver,asn,cop,geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,is_in_european_union,whitewight,wightSpam,wightMalware,wightAdult,wightgambling,wightphishing,wighttracker,wightfakenews
3960,103.166.75.107,142060.0,Uttara Online,1210997,zh-CN,AS,亚洲,BD,孟加拉国,0.0,17.258376089844237,2.6570058926622786,4.054969318258864,22.84046672880952,0.0346901340279186,0.1723241256486125,1.1223735666626773,1.1052471646980977
11662,80.15.177.197,3215.0,Orange,3017382,zh-CN,EU,欧洲,FR,法国,1.0,30.305355290126176,4.869292595304219,5.119346960327205,20.6113530713104,0.0800031840444135,0.5654755698223656,1.6213468593189797,2.2065012119380376
7634,65.21.85.184,24940.0,Hetzner Online GmbH,660013,zh-CN,EU,欧洲,FI,芬兰,1.0,22.697691593655808,4.029010690142271,3.785914877124637,8.241293780133425,0.0317714780516515,0.3739758433842202,1.8286898341127624,0.8071456911933029
2345,41.23.113.26,36994.0,Vodacom-VB,953987,zh-CN,AF,非洲,ZA,南非,0.0,5.892465227536319,1.3000540758849024,1.4941446070929354,4.752984967948826,0.0309187023852521,0.0492841788124133,0.1092784272499911,0.3886744377589763
11084,103.121.77.230,138149.0,Match Net,1210997,zh-CN,AS,亚洲,BD,孟加拉国,0.0,28.34553069440309,4.042633220943959,7.034974579740418,27.88995622587387,0.0768356069721604,0.4973425733755394,3.505943997498867,3.4187333701827027
2623,157.230.217.38,14061.0,DIGITALOCEAN-ASN,6252001,zh-CN,,北美洲,US,美国,0.0,12.697605102372474,2.6241658935663974,1.81659533891876,3.590085124582964,0.0359447883824784,0.0435569329483763,0.2806611244274484,0.5868671357020706
9180,185.220.225.223,202468.0,Noyan Abr Arvan Co. ( Private Joint Stock),298795,zh-CN,AS,亚洲,TR,土耳其,0.0,5.40009728818088,0.9632388144303784,4.51628420362956,52.94665808822608,0.2037793216692504,0.0949705248748134,0.7900606884135957,0.0
11500,199.203.229.169,1680.0,Cellcom Fixed Line Communication L.P,294640,zh-CN,AS,亚洲,IL,以色列,0.0,4.496691326449522,0.3018995020162583,1.5712646674591395,5.103784450174737,0.007956541321016,0.0197831940624077,0.2576299081797986,0.0152264579601496
8065,105.246.156.119,36994.0,Vodacom-VB,953987,zh-CN,AF,非洲,ZA,南非,0.0,6.28102408448123,1.401974527598265,1.5439028023028885,5.094236350824676,0.0304436857017783,0.0356565313159777,0.2124706672655564,0.4459801423135975
11092,103.186.52.113,132073.0,Wave Net,1210997,zh-CN,AS,亚洲,BD,孟加拉国,0.0,32.564680509733044,4.704868055447373,8.89010913959753,30.5775253169301,0.0930164771962859,0.7915708017174533,5.180936078783947,4.062067985971992
